일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/05/09","366000","-1500","-0.41","363000","371000","360000","747062","272802781000","30953070180000","84571230"
"2023/05/08","367500","-11500","-3.03","384000","384000","367000","1063039","396197818000","31079927025000","84571230"
"2023/05/04","379000","-1000","-0.26","376500","381500","373000","621657","234931020000","32052496170000","84571230"
"2023/05/03","380000","-2000","-0.52","382000","385500","378000","768864","293807530000","32137067400000","84571230"
"2023/05/02","382000","5000","1.33","379000","387500","377000","997936","381147813500","32306209860000","84571230"
"2023/04/28","377000","-10000","-2.58","400000","400500","376000","1523535","586875475000","31883353710000","84571230"
"2023/04/27","387000","15500","4.17","370500","388000","369000","1259153","477199812000","32729066010000","84571230"
"2023/04/26","371500","-8000","-2.11","377000","382500","370000","1356256","508829570500","31418211945000","84571230"
"2023/04/25","379500","-19000","-4.77","400500","403000","376000","2061154","793188009000","32094781785000","84571230"
"2023/04/24","398500","2500","0.63","389500","409000","389000","1492362","597191196500","33701635155000","84571230"
"2023/04/21","396000","-13500","-3.30","404000","408000","392500","1811713","722023900500","33490207080000","84571230"
"2023/04/20","409500","-2500","-0.61","409000","426000","405000","1735312","719319600500","34631918685000","84571230"
"2023/04/19","412000","-2500","-0.60","415500","426000","411000","1910849","796060439000","34843346760000","84571230"
"2023/04/18","414500","-9000","-2.13","431000","434000","413000","2542208","1071825325500","35054774835000","84571230"
"2023/04/17","423500","7500","1.80","419500","436000","416500","2943959","1258116632000","35815915905000","84571230"
"2023/04/14","416000","24500","6.26","406000","421000","396000","2744732","1121889382000","35181631680000","84571230"
"2023/04/13","391500","-15000","-3.69","394000","398500","376000","2625269","1024721203000","33109636545000","84571230"
"2023/04/12","406500","9500","2.39","401500","433000","399000","4199534","1745349338500","34378204995000","84571230"
"2023/04/11","397000","-1500","-0.38","402500","411500","391500","2388116","955312417500","33574778310000","84571230"
"2023/04/10","398500","29000","7.85","389000","409500","386000","3400129","1356744585000","33701635155000","84571230"
"2023/04/07","369500","7000","1.93","365500","372000","361500","1161822","426685052000","31249069485000","84571230"
"2023/04/06","362500","-11000","-2.95","368500","369000","361000","1599156","581493644500","30657070875000","84571230"
"2023/04/05","373500","6500","1.77","362500","378000","358000","1920793","706143437500","31587354405000","84571230"
"2023/04/04","367000","-25000","-6.38","392000","394500","366000","2636739","1001802396500","31037641410000","84571230"
"2023/04/03","392000","24000","6.52","385000","401500","381500","2647969","1039998810500","33151922160000","84571230"
"2023/03/31","368000","28500","8.39","338000","392000","337000","3767223","1403427430000","31122212640000","84571230"
"2023/03/30","339500","-1500","-0.44","341000","344000","335000","700132","237071977000","28711932585000","84571230"
"2023/03/29","341000","2000","0.59","344000","344500","336500","711759","241686119500","28838789430000","84571230"
"2023/03/28","339000","7000","2.11","334000","344000","332500","822344","277960787000","28669646970000","84571230"
"2023/03/27","332000","10000","3.11","327000","336000","325500","788021","261150164500","28077648360000","84571230"
"2023/03/24","322000","-7000","-2.13","330000","330000","320000","595650","192616941000","27231936060000","84571230"
"2023/03/23","329000","-1000","-0.30","327000","332500","325000","878007","289064566500","27823934670000","84571230"
"2023/03/22","330000","11000","3.45","322500","337500","322500","881894","292236970000","27908505900000","84571230"
"2023/03/21","319000","0","0.00","322000","325500","319000","432909","139035314000","26978222370000","84571230"
"2023/03/20","319000","-2000","-0.62","316500","324500","314500","408075","130461938000","26978222370000","84571230"
"2023/03/17","321000","-2000","-0.62","329000","332500","320500","688227","222947517000","27147364830000","84571230"
"2023/03/16","323000","-3500","-1.07","319500","327000","317000","662637","213220003000","27316507290000","84571230"
"2023/03/15","326500","10500","3.32","323500","329500","320000","626558","203812798500","27612506595000","84571230"
"2023/03/14","316000","-11000","-3.36","324500","324500","316000","599657","191106913000","26724508680000","84571230"
"2023/03/13","327000","6500","2.03","318000","328000","315500","585821","188793414000","27654792210000","84571230"
"2023/03/10","320500","-2000","-0.62","316000","324500","314500","386284","123799302000","27105079215000","84571230"
"2023/03/09","322500","-6500","-1.98","330500","333500","321500","686362","223655119000","27274221675000","84571230"
"2023/03/08","329000","-6000","-1.79","332500","332500","326500","612776","201343428500","27823934670000","84571230"
"2023/03/07","335000","5500","1.67","330500","344500","330000","1022487","347047479500","28331362050000","84571230"
"2023/03/06","329500","-2500","-0.75","334000","335000","321000","1270453","415450578000","27866220285000","84571230"
"2023/03/03","332000","-5000","-1.48","339500","341000","329500","797958","265571186000","28077648360000","84571230"
"2023/03/02","337000","19000","5.97","325500","344000","325000","1333108","447134003500","28500504510000","84571230"
"2023/02/28","318000","-1000","-0.31","322500","324500","315500","1446654","460983516500","26893651140000","84571230"
"2023/02/27","319000","-3000","-0.93","315500","322000","313500","873124","277399126000","26978222370000","84571230"
"2023/02/24","322000","-9500","-2.87","332000","332000","319500","763089","247515253000","27231936060000","84571230"
"2023/02/23","331500","-500","-0.15","333000","336000","325000","618887","204370066500","28035362745000","84571230"
"2023/02/22","332000","-14000","-4.05","339000","341500","329000","974061","326923597500","28077648360000","84571230"
"2023/02/21","346000","0","0.00","347000","348500","339000","717022","246930446500","29261645580000","84571230"
"2023/02/20","346000","12000","3.59","341000","349500","338000","1075480","370656587500","29261645580000","84571230"
"2023/02/17","334000","5000","1.52","325500","346000","325000","1279962","431636733500","28246790820000","84571230"
"2023/02/16","329000","3500","1.08","329000","329500","323000","810231","264708786500","27823934670000","84571230"
"2023/02/15","325500","18500","6.03","309500","329000","308500","1356822","437829638500","27527935365000","84571230"
"2023/02/14","307000","2500","0.82","306500","313000","304500","495815","153114042000","25963367610000","84571230"
"2023/02/13","304500","4500","1.50","298500","304500","297000","361539","109041336500","25751939535000","84571230"
"2023/02/10","300000","-6000","-1.96","306500","306500","299000","443512","133370346500","25371369000000","84571230"
"2023/02/09","306000","8000","2.68","297500","307500","295000","530381","160420929500","25878796380000","84571230"
"2023/02/08","298000","-500","-0.17","300000","305000","298000","419661","126187726500","25202226540000","84571230"
"2023/02/07","298500","500","0.17","297000","299500","293500","424378","126207246500","25244512155000","84571230"
"2023/02/06","298000","-5000","-1.65","300000","303000","298000","389270","116822929500","25202226540000","84571230"
"2023/02/03","303000","-500","-0.16","302000","305000","298000","365227","110059182000","25625082690000","84571230"
"2023/02/02","303500","0","0.00","307000","309000","302000","392097","119595360500","25667368305000","84571230"
"2023/02/01","303500","3000","1.00","302000","304500","300500","333222","100876499500","25667368305000","84571230"
"2023/01/31","300500","-3000","-0.99","307500","308000","300000","507244","154022111500","25413654615000","84571230"
"2023/01/30","303500","-8000","-2.57","310000","315000","302500","578986","177337271847","25667368305000","84571230"
"2023/01/27","311500","-2500","-0.80","314000","314000","309000","329254","102715775000","26343938145000","84571230"
"2023/01/26","314000","11000","3.63","303500","314500","301500","538052","166932433500","26555366220000","84571230"
"2023/01/25","303000","-5500","-1.78","312000","312500","302000","384315","117449530500","25625082690000","84571230"
"2023/01/20","308500","8000","2.66","300500","309500","300500","280284","85576557500","26090224455000","84571230"
"2023/01/19","300500","500","0.17","297500","303500","297000","230209","69287611500","25413654615000","84571230"
"2023/01/18","300000","-5500","-1.80","304500","306000","298000","413955","124562000500","25371369000000","84571230"
"2023/01/17","305500","-5500","-1.77","310500","314000","305000","333407","102789785500","25836510765000","84571230"
"2023/01/16","311000","6000","1.97","306000","313000","302500","547935","168868442000","26301652530000","84571230"
"2023/01/13","305000","14000","4.81","294000","305000","293500","762472","229670159500","25794225150000","84571230"
"2023/01/12","291000","-1000","-0.34","293500","295000","291000","325084","95106754000","24610227930000","84571230"
