일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/05/09","86400","-700","-0.80","86700","87200","85300","638492","55069597600","35023393180800","405363347"
"2023/05/08","87100","1200","1.40","86500","87500","86400","1094022","95258626800","35307147523700","405363347"
"2023/05/04","85900","-600","-0.69","86200","86700","85700","649435","55920637100","34820711507300","405363347"
"2023/05/03","86500","-400","-0.46","86400","87200","85600","853646","73773680100","35063929515500","405363347"
"2023/05/02","86900","2400","2.84","85100","86900","84600","1301927","112170677600","35226074854300","405363347"
"2023/04/28","84500","-2100","-2.42","86700","86700","84300","1648678","140123214000","34253202821500","405363347"
"2023/04/27","86600","900","1.05","86400","88500","86200","1899151","165501012300","35104465850200","405363347"
"2023/04/26","85700","-900","-1.04","87900","89700","85200","3309719","289099790400","34739638837900","405363347"
"2023/04/25","86600","1900","2.24","84900","87100","83500","2444751","209462730400","35104465850200","405363347"
"2023/04/24","84700","1400","1.68","83700","84900","83500","938376","79049051500","34334275490900","405363347"
"2023/04/21","83300","-800","-0.95","83300","83800","82200","945223","78595094470","33766766805100","405363347"
"2023/04/20","84100","-1300","-1.52","84400","85200","83600","1200517","101137934400","34091057482700","405363347"
"2023/04/19","85400","2700","3.26","82800","85900","82300","1758223","148657568450","34618029833800","405363347"
"2023/04/18","82700","-1800","-2.13","83600","83600","81000","2125174","174886630100","33523548796900","405363347"
"2023/04/17","84500","-800","-0.94","85100","85300","84200","1161544","98234870182","34253202821500","405363347"
"2023/04/14","85300","-1300","-1.50","86900","87000","85000","1163781","99848379600","34577493499100","405363347"
"2023/04/13","86600","500","0.58","85600","86600","85000","1305756","112485997300","35104465850200","405363347"
"2023/04/12","86100","1100","1.29","86200","86500","84100","2437920","208800062800","34901784176700","405363347"
"2023/04/11","85000","4000","4.94","81000","85500","81000","3307242","278455105800","34455884495000","405363347"
"2023/04/10","81000","900","1.12","80200","82000","79500","1009786","81750826800","32834431107000","405363347"
"2023/04/07","80100","-900","-1.11","80600","81500","80000","1128013","90640865800","32469604094700","405363347"
"2023/04/06","81000","-300","-0.37","82000","83000","81000","1364098","111856434900","32834431107000","405363347"
"2023/04/05","81300","1200","1.50","80200","81800","80100","1013013","82050730700","32956040111100","405363347"
"2023/04/04","80100","-1100","-1.35","80600","81700","79700","1009704","81245169900","32469604094700","405363347"
"2023/04/03","81200","200","0.25","81500","81600","80400","807758","65494082400","32915503776400","405363347"
"2023/03/31","81000","1600","2.02","80100","81500","79800","1577792","127590775700","32834431107000","405363347"
"2023/03/30","79400","-100","-0.13","78600","79900","78200","1033563","82104252100","32185849751800","405363347"
"2023/03/29","79500","2600","3.38","77600","79500","77500","1500632","118225424400","32226386086500","405363347"
"2023/03/28","76900","900","1.18","76500","76900","76200","792849","60746059200","31172441384300","405363347"
"2023/03/27","76000","-1600","-2.06","77000","77000","75100","1635935","123976721200","30807614372000","405363347"
"2023/03/24","77600","-800","-1.02","77900","78400","76200","1261980","97432250100","31456195727200","405363347"
"2023/03/23","78400","-500","-0.63","77700","78600","77400","1361870","106358407200","31780486404800","405363347"
"2023/03/22","78900","1200","1.54","78700","79100","77900","967219","76126434300","31983168078300","405363347"
"2023/03/21","77700","-300","-0.38","78700","79300","77400","969220","75614229800","31496732061900","405363347"
"2023/03/20","78000","-2200","-2.74","80000","80000","77900","997524","78450652800","31618341066000","405363347"
"2023/03/17","80200","1100","1.39","79700","80400","78600","1454231","115764821000","32510140429400","405363347"
"2023/03/16","79100","-500","-0.63","78500","79900","77900","1099113","86997549800","32064240747700","405363347"
"2023/03/15","79600","3300","4.33","77600","80000","77500","1755601","139515601300","32266922421200","405363347"
"2023/03/14","76300","-2500","-3.17","78500","78900","76300","1366264","105654493400","30929223376100","405363347"
"2023/03/13","78800","800","1.03","77700","79200","77400","1422962","111544290500","31942631743600","405363347"
"2023/03/10","78000","-100","-0.13","77300","78500","77300","851372","66550938200","31618341066000","405363347"
"2023/03/09","78100","-800","-1.01","78900","79700","78100","1315822","103510119000","31658877400700","405363347"
"2023/03/08","78900","1300","1.68","76800","79200","76700","1306974","102575395600","31983168078300","405363347"
"2023/03/07","77600","-900","-1.15","78500","79000","77600","992331","77881306500","31456195727200","405363347"
"2023/03/06","78500","300","0.38","78800","79300","77500","1204893","94549161000","31821022739500","405363347"
"2023/03/03","78200","400","0.51","78400","79100","77400","1149778","89992489500","31699413735400","405363347"
"2023/03/02","77800","2500","3.32","75700","78500","75700","1916651","149213205700","31537268396600","405363347"
"2023/02/28","75300","-700","-0.92","76200","77200","75300","1666461","126651035700","30523860029100","405363347"
"2023/02/27","76000","700","0.93","75000","76200","74200","961024","72419650800","30807614372000","405363347"
"2023/02/24","75300","-1100","-1.44","76300","77000","75200","976800","74200347300","30523860029100","405363347"
"2023/02/23","76400","1900","2.55","74500","77300","74500","1440318","109678648500","30969759710800","405363347"
"2023/02/22","74500","-2100","-2.74","75800","76000","74300","1281613","96156291100","30199569351500","405363347"
"2023/02/21","76600","300","0.39","76800","76900","75500","800396","61002516900","31050832380200","405363347"
"2023/02/20","76300","-100","-0.13","76500","76800","75600","847290","64588168400","30929223376100","405363347"
"2023/02/17","76400","-100","-0.13","75600","76800","75500","1121854","85627854142","30969759710800","405363347"
"2023/02/16","76500","3900","5.37","73200","76700","73100","2208024","167118876700","31010296045500","405363347"
"2023/02/15","72600","-900","-1.22","73500","74000","72000","1073567","78377145500","29429378992200","405363347"
"2023/02/14","73500","300","0.41","73500","74300","72900","1151903","84773703600","29794206004500","405363347"
"2023/02/13","73200","800","1.10","72400","73400","72100","1443643","105320872900","29672597000400","405363347"
"2023/02/10","72400","700","0.98","71400","72600","71100","1067878","76957350800","29348306322800","405363347"
"2023/02/09","71700","200","0.28","71400","72200","70900","1074569","77016272300","29064551979900","405363347"
"2023/02/08","71500","200","0.28","71700","71800","70600","1154049","82268710800","28983479310500","405363347"
"2023/02/07","71300","800","1.13","70600","71300","69700","1352790","95507613300","28902406641100","405363347"
"2023/02/06","70500","-700","-0.98","70900","71600","70500","1326873","94064027900","28578115963500","405363347"
"2023/02/03","71200","1500","2.15","69900","71600","69700","2211215","156762195600","28861870306400","405363347"
