일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/05/09","788000","0","0.00","789000","797000","786000","23747","18772476000","56085112000000","71174000"
"2023/05/08","788000","-9000","-1.13","799000","804000","787000","61820","48937711000","56085112000000","71174000"
"2023/05/04","797000","22000","2.84","771000","799000","771000","144462","114475902000","56725678000000","71174000"
"2023/05/03","775000","8000","1.04","767000","775000","763000","52578","40508296000","55159850000000","71174000"
"2023/05/02","767000","-14000","-1.79","760000","779000","756000","101034","77455833000","54590458000000","71174000"
"2023/04/28","781000","3000","0.39","775000","787000","775000","51554","40277366000","55586894000000","71174000"
"2023/04/27","778000","-5000","-0.64","780000","782000","767000","68729","53230605000","55373372000000","71174000"
"2023/04/26","783000","-3000","-0.38","787000","790000","781000","48842","38281745000","55729242000000","71174000"
"2023/04/25","786000","-11000","-1.38","804000","804000","783000","65429","51648031000","55942764000000","71174000"
"2023/04/24","797000","12000","1.53","791000","800000","785000","65147","51771993000","56725678000000","71174000"
"2023/04/21","785000","0","0.00","785000","789000","781000","34511","27105749000","55871590000000","71174000"
"2023/04/20","785000","-3000","-0.38","788000","790000","781000","60280","47274461000","55871590000000","71174000"
"2023/04/19","788000","-5000","-0.63","796000","796000","783000","61842","48732298000","56085112000000","71174000"
"2023/04/18","793000","-19000","-2.34","807000","807000","790000","83360","66347713000","56440982000000","71174000"
"2023/04/17","812000","-5000","-0.61","817000","818000","806000","41853","33870865000","57793288000000","71174000"
"2023/04/14","817000","2000","0.25","820000","825000","815000","80632","66239746000","58149158000000","71174000"
"2023/04/13","815000","15000","1.88","800000","815000","799000","85752","69488129000","58006810000000","71174000"
"2023/04/12","800000","-12000","-1.48","807000","812000","799000","110378","88070897452","56939200000000","71174000"
"2023/04/11","812000","9000","1.12","806000","819000","804000","63793","51825562000","57793288000000","71174000"
"2023/04/10","803000","7000","0.88","796000","809000","789000","61713","49350932000","57152722000000","71174000"
"2023/04/07","796000","-9000","-1.12","804000","805000","792000","61342","48882068000","56654504000000","71174000"
"2023/04/06","805000","17000","2.16","790000","824000","790000","169315","137401473000","57295070000000","71174000"
